wk_subject_id,kanji,primary_meaning,other_meanings,onyomi,kunyomi,nanori,radical_subject_ids,radical_characters,radical_meanings,visually_similar_subject_ids,visually_similar_kanji,meaning_mnemonic,reading_mnemonic,url,wk_level,srs_stage,StrokeImg,extra_reading_mnemonic
447,力,Power,"Strength, Ability, Force, Energy","りょく, りき",ちから,,13,力,Power,"467, 442, 458","丸, 九, 刀",The radical and the meaning of this kanji are the same. Both are <kanji>power</kanji>.,"Who has the most power of anyone? It's the <kanji>Power</kanji> Rangers. They are battling their arch enemy <reading>Ricky</reading> (りき). They defeat him and <reading>lock</reading> (りょく) him up, so that he can't hurt anyone ever again.",https://www.wanikani.com/kanji/%E5%8A%9B,1,,"<img src=""jisho_strokes_0529B.png"">",<kanji>Power</kanji> is <reading>ちから</reading>.
448,十,Ten,10,じゅう,とお,,15,十,Cross,,,This <radical>cross</radical> is the symbol for the number <kanji>ten</kanji>. A good way to remember this is to think about all the religions that have crosses and also important sets of tens.,This cross in particular has <kanji>ten</kanji> <reading>jew</reading>els (じゅう) on it. Two on each arm and two in the middle. That's ten jewels!,https://www.wanikani.com/kanji/%E5%8D%81,1,,"<img src=""jisho_strokes_05341.png"">","<kanji>Tenth Day</kanji> is <reading>とお</reading>か. This marks the tenth day since this <reading>talker</reading> (とおか) began talking non-stop. Talkers love talking, but this one is getting quite unbearable… Ten days of talking, can you believe it?"
452,口,Mouth,,"こう, く",くち,,16,口,Mouth,,,The <radical>mouth</radical> radical and the <kanji>mouth</kanji> kanji are exactly the same!,"Do you remember seeing the construction worker こういち earlier in the 工 mnemonic? If you haven't yet, not to worry!

For kanji with こう readings (there are a lot of them!) we will use the character こういち every time. He's one of the people who started this website, so we'll do our best in the mnemonics to embarrass him as much as possible. Anyways, remember that whenever you see こう, think こういち.

Everyone agrees, the <kanji>mouth</kanji> is <reading>こう</reading>いち's best feature. You stare at it lovingly as he whispers sweet kanji readings to you.",https://www.wanikani.com/kanji/%E5%8F%A3,1,,"<img src=""jisho_strokes_053E3.png"">","<kanji>Mouth</kanji> is <reading>くち</reading>. With your <kanji>mouth</kanji>, make a ""<reading>kuchi</reading> kuchi kou"" (くち) sound.

こういち likes to use his mouth to eat <reading>coo</reading>kies (く). Yum!"
453,大,Big,Large,"たい, だい",おお,ひろ,18,大,Big,"505, 481","太, 犬",The <radical>big</radical> radical and the <kanji>big</kanji> kanji are exactly the same!,"There's this <kanji>big</kanji> guy (that's how you remember the radical, remember?), and he's wearing a huge <reading>Tie Dye</reading> (たい, だい) shirt. Because he's so huge, the tie dye shirt is also super huge. Everything about him is pretty big, but the tie dye stands out more than anything.",https://www.wanikani.com/kanji/%E5%A4%A7,1,,"<img src=""jisho_strokes_05927.png"">","大きい (<reading>おお</reading>きい) - What do you do when you see something really, really <kanji>big</kanji>? You say <reading>おお</reading> because you can't believe your eyes."
454,女,Woman,"Female, Girl","じょ, にょ, にょう","おんな, め",,19,女,Woman,,,The radical for <radical>woman</radical> and the kanji for <kanji>woman</kanji> are exactly the same.,"When you think of a <kanji>woman</kanji>, think of <reading>Jo</reading>-Anne (じょ), though she usually goes by just ""Jo.""",https://www.wanikani.com/kanji/%E5%A5%B3,1,,"<img src=""jisho_strokes_05973.png"">","<kanji>Woman</kanji> is <reading>おんな</reading>. 

Think about how this <kanji>woman</kanji> is <reading>onna</reading> (おんな) roll. She's winning left, right and center. She's unstoppable. Yep, she's truly onna roll!

女神 (めがみ) - This goddess has the most beautiful <reading>目</reading> (め) you've ever seen. You can't stop staring into them. This must be how people know they've met a god.

This reading doesn't happen too often, but if a <kanji>woman</kanji> says ""<reading>NOOO</reading>"" (にょ) or ""<reading>NYOOOOOO</reading>! (にょう)"", she really means it so give her some space."
455,山,Mountain,,さん,やま,,20,山,Mountain,1720,仙,The <radical>mountain</radical> radical and the <kanji>mountain</kanji> kanji are the same.,"Think about <kanji>mountains</kanji> talking to each other, calling each other by their names and adding the Japanese name-ender <reading>san</reading> (さん) to each of their names. ""Hello, Everest-<reading>san</reading>."" ""Oh hi, Fuji-<reading>san</reading>.""",https://www.wanikani.com/kanji/%E5%B1%B1,1,,"<img src=""jisho_strokes_05C71.png"">",<kanji>Mountain</kanji> is <reading>やま</reading>.
456,川,River,"Stream, Brook",せん,かわ,,21,川,River,,,The <radical>river</radical> radical and the <kanji>river</kanji> kanji are the same as each other!,You're standing next to a <kanji>river</kanji> that's actually used as a <reading>ca</reading>r <reading>wa</reading>sh (かわ). The river washes them all clean.,https://www.wanikani.com/kanji/%E5%B7%9D,1,,"<img src=""jisho_strokes_05DDD.png"">",The <kanji>river</kanji> is used for car washes and to clean <reading>cen</reading>taurs (せん).
457,工,Construction,Industry,"こう, く",,,25,工,Construction,,,"The <radical>construction</radical> radical and the <kanji>construction</kanji> kanji are the same!

This kanji also means <kanji>industry</kanji>, which is what construction is, if you think about it. It's all part of the construction industry.","Every time a kanji uses the こう reading (there are a lot!), we'll use the character こういち. He's one of the people who started this website, so we'll do our best in the mnemonics to embarrass him as much as possible. Like this:

You see some <kanji>construction</kanji> in front of you. There, standing shirtless (only suspenders and a hard hat) is <reading>こう</reading>いち, looking back at you.",https://www.wanikani.com/kanji/%E5%B7%A5,1,,"<img src=""jisho_strokes_05DE5.png"">","飴細工 (あめざいく) - Rarely, こういち wants to eat (sugar sculptures) by making them into <reading>coo</reading>kies (く)!"
856,々,Repeater,"Repetition, Reduplication, Iteration Mark, Kanji Repeater, Repeater Kanji",,のま,,"14, 3","勹, 丶","Prison, Drop",,,"This is a strange kanji because it doesn't really mean anything at all. In fact, what it does is it repeats the kanji that comes before it. For example: 人々 is actually 人人. This kanji shows up whenever there's a repeating kanji, because it's often easier to write than writing a more complicated kanji twice. That's why this kanji is the <kanji>repeater</kanji>. It repeats what comes before it.

To remember that this kanji is the repeater, though, think of a <radical>prison</radical> with <radical>drop</radical>s of water dripping over and over in it. Drip drop drip drop. It does that over and over again, driving the prisoners nuts. But it never stops. It just repeats over and over.","This symbol doesn't really have a name, but it's sometimes called the のま because it looks like the katakana characters ノ and マ put together. If you know katakana then this will be easy to read. If you don't, think of it this way:

Your mom is the <kanji>repeater</kanji>. She is trying to feed you over and over again. You're full today, so maybe tomorrow. You keep yelling ""<reading>No ma</reading> (のま)!"" but she doesn't stop. She's on a repeating track, never stopping, repeating forever.",https://www.wanikani.com/kanji/%E3%80%85,2,,,
464,丁,Street,,"ちょう, てい",,,27,丁,Street,"462, 465","子, 了",The kanji and the radical that look like this are exactly the same. They are both <kanji>street</kanji>.,"So you're walking down this <kanji>street</kanji>, and off in the distance you see the silhouette of somebody. A lady. Big, black curly hair and red eyes. It is the street-woman, Mrs. <reading>Chou</reading> (ちょう).

In general, Mrs. Chou is a mean, evil woman, so as long as you imagine her within those parameters, you're good. And, when I say she is a ""street-woman"" in the mnemonic, I don't mean she is homeless. She has a nice, middle-class home that's not outside of her financial means. What I'm saying is she wanders the streets looking for evil things to do. These are HER streets.",https://www.wanikani.com/kanji/%E4%B8%81,2,,"<img src=""jisho_strokes_04E01.png"">","Mrs. Chou is angry at the <kanji>street</kanji> lined up with <reading>ta</reading>ter (てい) tots. People are happy how you can eat from them as you walk along, and she doesn't like happy people."
469,中,Middle,"In, Inside, Center",ちゅう,なか,,49,中,Middle,,,"The radical <reading>middle</reading> and the kanji <kanji>middle</kanji> are both the same. So if you know one, you know the other.","To remember the reading for this kanji, we use the word Chewbacca to pull up ちゅう in our memory.

If you remember back to the radical 中, a stick was stuck in the middle of the mouth of something. Let's say it was your mouth, and when you look up to see who did it, there stands <reading>Chew</reading>bacca. He's even doing his Chewbacca yell. And it isn't a stick in your mouth, it's an arrow from his bowcaster. It just so happens Chewbacca's bowcaster looks just like this kanji too. Go figure.",https://www.wanikani.com/kanji/%E4%B8%AD,2,,"<img src=""jisho_strokes_04E2D.png"">","<kanji>Inside</kanji> is <reading>なか</reading>. 

There's a sound coming from <kanji>inside</kanji> the wall. It sounds like a knock, knock, knock noise. You break down the wall, and there's some creepy dude standing inside. He is the <reading>knocker</reading> (なか)."
467,丸,Circle,"Circular, Round",がん,まる,,"11, 3","九, 丶","Nine, Drop","442, 447","九, 力",What's something with <radical>nine</radical> sides? Just add a <radical>drop</radical> and you'll have something that's almost a <kanji>circle</kanji>.,"Do you know about the adorable cat Maru? If not, you should check it out (http://www.youtube.com/watch?v=z_AbfPXTKms). May seem like a distraction, but if you come back knowing the reading for this kanji, then it's totally worthwhile.

When you think about a <kanji>circle</kanji>, think about <reading>Maru</reading> all rolled up in a little circle, being super adorable. Don't tell me it doesn't melt your heart just thinking about it.

Alternatively, you could also look at this kanji and think of Maru inside of a box, with his little tail sticking out of it. Whatever works best for you, just get yourself to ""Maru.""",https://www.wanikani.com/kanji/%E4%B8%B8,2,,"<img src=""jisho_strokes_04E38.png"">",<reading>Gan</reading>dhi (がん) also likes <kanji>circle</kanji>s. Full circles. You see Gandhi chilling with Maru the cat.
470,五,Five,5,ご,いつ,,39,五,Five,,,The <radical>five</radical> radical and the <kanji>five</kanji> kanji are the same.,"<kanji>Five</kanji> is the number of buildings <reading>Go</reading>dzilla (ご) will knock down. Oh, look! There he goes now.",https://www.wanikani.com/kanji/%E4%BA%94,2,,"<img src=""jisho_strokes_04E94.png"">","<kanji>Five Things</kanji> is <reading>いつ</reading>つ. You need to <reading>eat</reading> (いつ) them. Just imagine having <kanji>five</kanji> delicious things to eat, sticking each on one finger of your hand.

-<kanji>Fifth Day</kanji> is <reading>いつ</reading>か."
471,六,Six,6,ろく,む,,"8, 2","亠, ハ","Lid, Fins",1118,穴,You open a <radical>lid</radical> and see fish <radical>fins</radical>. You count and there are <kanji>six</kanji>!,"Whenever we need to remember the reading ろく we just use the word <reading>rock</reading>.

You take these <kanji>six</kanji> fish fins and put them on to decorate your drum sticks. This looks good for your <reading>rock</reading> (ろく) and roll concert.",https://www.wanikani.com/kanji/%E5%85%AD,2,,"<img src=""jisho_strokes_0516D.png"">","<kanji>Six Things</kanji> is <reading>む</reading>っつ. You count <kanji>six</kanji> cows. The reason it's six is because you heard exactly six <reading>moo</reading>s (むっ). No more, no less.

-<kanji>Sixth Day</kanji> is <reading>む</reading>か. On the sixth day of the week, you've finally get a break to relax. You arrive at your roadtrip's destination.. You get out of your car and tell it, ""<reading>Muy</reading> (むい) bien car (か), muy bien!""."
472,円,Yen,"Round, Circle, ¥",えん,まる,,"29, 8","冂, 亠","Head, Lid",,,"Here we have a <radical>head</radical> with a <radical>lid</radical> in it, near the top. Imagine the top of someone's head being closed by a lid. Open that lid up and peer inside... it's full of <kanji>yen</kanji> coins, the currency of Japan. Jackpot! And all those yen coins have a nice <kanji>round</kanji> shape, naturally.","What does the word <kanji>yen</kanji> sound like? It sounds like <reading>えん</reading>. Why? because back in the day, Japanese used to have a ""ye"" sound, but now it doesn't. Instead, it's an ""e"" sound, which is why yen = えん!",https://www.wanikani.com/kanji/%E5%86%86,2,,"<img src=""jisho_strokes_05186.png"">","円 means both ""yen"" and ""round"" but in this case we're looking at the round one (because something isn't going to be ""yenny""). The adjective version of round is <kanji>round</kanji> or <kanji>circular</kanji>. Just like a yen coin, this ""round"" is a flat round. As in, if you draw a circle on a piece of paper, you could use this word. Same goes with yen, which is why ""yen"" and ""round"" both use the same kanji.

Similarly to 丸, they share the same <reading>まる</reading> reading."
483,出,Exit,,しゅつ,"で, だ",,20,山,Mountain,,,"There are two <radical>mountains</radical> in front of you... and probably a bunch more around you too. You are in a pass, and don't know how to get out. You are frantically looking for the <kanji>exit</kanji> before you freeze to death. The most important thing is to find the exit from this mountain range - your life depends on it.","As you're trying to <kanji>exit</kanji> this mountain range, you suddenly realize that someone is actually hunting you. What?! Then, you find the exit and run towards it. Sadly, the hunter is waiting there, and he <reading>shoots you</reading> (しゅつ). WTF?!",https://www.wanikani.com/kanji/%E5%87%BA,2,,"<img src=""jisho_strokes_051FA.png"">","出す (<reading>だ</reading>す) - <kanji>To Take Out</kanji>.

出る (<reading>で</reading>る) - <kanji>To Exit</kanji>."
458,刀,Sword,Katana,とう,かたな,,24,刀,Sword,"1877, 447","刃, 力","The radical and the meaning of this kanji are almost the same! The radical is <radical>sword</radical>, but we're learning Japanese, so can you name a Japanese <kanji>sword</kanji>? That's right, the most common is a <kanji>katana</kanji>, which happens to be the meaning of this kanji as well.","So now you have this sweet <kanji>katana</kanji> in your hands and you're swinging it around like an idiot. Feel free to make whooshing noises as you swing it around. To become a master katana wielder, you decide to travel to <reading>とう</reading>きょう (Tokyo). とうきょう has the best sword and katana schools in the world, so it makes sense to travel to とうきょう.",https://www.wanikani.com/kanji/%E5%88%80,2,,"<img src=""jisho_strokes_05200.png"">",<kanji>Sword</kanji> is <reading>かたな</reading>.
460,千,Thousand,"1000, 1,000",せん,ち,,32,千,Thousand,1014,干,"This kanji is the same as the radical you learned, so it means <kanji>thousand</kanji>.","Remember the thousand people going down the slide on a cross in the radical 千? Turns out each one of them was carrying a <kanji>thousand</kanji> <reading>cen</reading>ts (せん). Go ahead and try to calculate what a thousand times a thousand cents would come out to. It's quite a lot, actually. $10 (since 100 cents = 1 dollar).",https://www.wanikani.com/kanji/%E5%8D%83,2,,"<img src=""jisho_strokes_05343.png"">","千葉 - There is only one place in Japan that has a thousand leaves and that's <kanji>Chiba</kanji>. Picture all of those leaves swirling around you on your vacation to Chiba. Beautiful. There's also a thousand <reading>chee</reading>se (ち) in Chiba, yum."
484,右,Right,,"ゆう, う",みぎ,,"26, 16","ナ, 口","Narwhal, Mouth","486, 493, 504","左, 石, 友","<radical>Narwhal</radical> <radical>mouth</radical>s are on the <kanji>right</kanji> side of their head. In fact, some people didn't think they had mouths at all because they weren't looking from the right. Rookie mistake.

See how the ""mouth"" radical is to the right of the ""narwhal"" radical? That should help you remember that this means <kanji>right</kanji>.","In their <kanji>right</kanji> hands, the narwhals shake hands with the <reading>you</reading>ths (ゆう). ""To be on the right side of history, you must be kind for the younger generation,"" says the narwhal mouths.",https://www.wanikani.com/kanji/%E5%8F%B3,2,,"<img src=""jisho_strokes_053F3.png"">","<kanji>Right</kanji> is <reading>みぎ</reading>.

右翼 (うよく) - Those in the <kanji>right</kanji> wing love eating <reading>u</reading>ni (う), not because they like the taste, but because uni is expensive. Fancy conservative right wingers..?"
485,四,Four,4,し,"よん, よ",,"16, 28","口, 儿","Mouth, Legs",1891,匹,"Imagine contorting yourself in such a way that your <radical>mouth</radical> now has your <radical>legs</radical> inside it. You've bent your body in all the wrong ways to achieve this. In fact, if you look at yourself, you look like a square now... You're just a person with <kanji>four</kanji> sides.","Now that you have <kanji>four</kanji> sides, you look like a four-sided animal: the <reading>shee</reading>p (し). Look at yourself in the mirror and see an adorable four-sided sheep looking back at you. Imagine yourself with perfectly square wool. (You can only see four sides because mirrors aren't 3D. So you're a flat, cartoonish sheep.)",https://www.wanikani.com/kanji/%E5%9B%9B,2,,"<img src=""jisho_strokes_056DB.png"">","You have to count to <kanji>four</kanji>. But you're tired. One... two... three... *<reading>YAWN</reading> (よん)* ... four. 

-<kanji>Four Things</kanji> is <reading>よっ</reading>つ. The ん part of よん gets converted to a small っ though, so watch out for that.

-<kanji>Fourth Day</kanji> is <reading>よっ</reading>か."
459,土,Dirt,"Earth, Ground, Soil","ど, と",つち,,17,土,Dirt,877,士,"The <radical>dirt</radical> radical and the <kanji>dirt</kanji> kanji are the same!

(At first this looks like a cross in the ground, but it's actually something growing in the dirt. It's a little sprout, already rocking three leaves. And it's all thanks to that dirt! When you see this radical, think about how amazing it is that things just, like, grow in the dirt.)","Who spends a lot of time in <kanji>dirt</kanji>? <reading>Do</reading>gs (ど) do! Dogs dig in dirt, they roll in dirt, sometimes they try to eat dirt (which isn't so great).",https://www.wanikani.com/kanji/%E5%9C%9F,2,,"<img src=""jisho_strokes_0571F.png"">","If you walk barefoot outside, you'll have <kanji>dirt</kanji> on your <reading>toe</reading>s (と)! Those are dirty toes.

You look through the <kanji>dirt</kanji> or <kanji>soil</kanji> or <kanji>earth</kanji>. You're trying to find something. As you dig and sift, you come across not one but <reading>two chee</reading>ses (つち). Pull them out of the ground and put them in your mouth. They taste cheesy but a little dirty."
461,夕,Evening,,,ゆう,,33,夕,Evening,,,The <radical>evening</radical> radical and the <kanji>evening</kanji> kanji are the same. If you know the radical you know the meaning of the kanji.,The <kanji>evening</kanji> is when all the <reading>you</reading>ths (ゆう) come outside to play.,https://www.wanikani.com/kanji/%E5%A4%95,2,,"<img src=""jisho_strokes_05915.png"">",
473,天,Heaven,,てん,あま,,40,天,Heaven,945,夫,"The radical <radical>heaven</radical> is the same as the kanji <kanji>heaven</kanji>, making this an easy kanji to memorize.","<kanji>Heaven</kanji>... nowadays, you need to do <reading>ten</reading> (てん) good things to get into heaven!",https://www.wanikani.com/kanji/%E5%A4%A9,2,,"<img src=""jisho_strokes_05929.png"">","<reading>Ama</reading>nohashidate (天橋立) is a pine-covered sandbar that spans the mouth of Miyazu Bay in the scenic, coastal region of northern Kyoto Prefecture. Viewed from the mountains at either end of the bay, the Amanohashidate Sandbar (which roughly translates to ""bridge in heaven"") looks like a pathway between heaven and earth. The scene has been admired for centuries and is ranked among Japan's three most scenic views."
462,子,Child,"Kid, Children, Kids","し, す",こ,,34,子,Child,"464, 465","丁, 了","The <radical>child</radical> radical and the <kanji>child</kanji> kanji are exactly the same.

(Aww, see how they're wearing a cap and have their little arms stretched out? You can almost hear them saying ""pick me up!"" A very child-like child.)","The main reading here is し, so to remember it we'll use this mnemonic:

There is a <kanji>child</kanji> standing in front of you. You look closely at the child but something seems wrong. You rub your eyes and when you open them again, there is a <reading>shee</reading>p (し) in front of you. A sheep?! You yelp, blink again, and it's back to being a child. Are… are all children really just sheep?",https://www.wanikani.com/kanji/%E5%AD%90,2,,"<img src=""jisho_strokes_05B50.png"">","A <kanji>Child</kanji> is a <reading>こ</reading>.

椅子 (いす) - If a child falls off their chair, the parent will <reading>sue</reading> (す). Make sure your chairs are sturdy!"
463,小,Small,Little,しょう,"ちい, こ, お",,35,小,Small,,,The <radical>small</radical> radical and the <kanji>small</kanji> kanji are exactly the same.,"This <kanji>small</kanji> kanji would be the perfect gift to give to the <reading>Shou</reading>gun (しょう). The Shougun loves little things, and the <kanji>little</kanji> kanji represents all of that.",https://www.wanikani.com/kanji/%E5%B0%8F,2,,"<img src=""jisho_strokes_05C0F.png"">","<kanji>Small</kanji> is <reading>ちいさい</reading>.

What are <kanji>small</kanji>? Kids (<reading>子</reading>) are small."
